
----------------
Today's date:2022-02-11
Customer Name: hh
Customer Phone Number: 1
Pick Frozen Or Cooked: 1
PickUp Or Delivery: 1
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
Item: Flounder Price: $4.10
